"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"
840.82	80.1727	840.82	77.9536	840.82	81.2474	840.82	78.0899	840.82	74.8595	840.82	79.2116
870.85	80.6834	870.85	78.1095	870.85	81.9804	870.85	78.6624	870.85	75.4229	870.85	79.8108
901.611	81.0313	901.611	79.3898	901.611	82.3959	901.611	79.2267	901.611	75.7843	901.611	80.3326
933.105	81.7847	933.105	79.5194	933.105	83.0199	933.105	79.7236	933.105	75.5052	933.105	80.8595
966.064	82.4371	966.064	79.7436	966.064	83.5533	966.064	80.2862	966.064	75.4194	966.064	81.3741
999.756	82.1551	999.756	79.2391	999.756	83.2593	999.756	80.4944	999.756	74.4669	999.756	81.2053
1,034.91	81.8747	1,034.91	78.9888	1,034.91	82.8765	1,034.91	80.9427	1,034.91	75.7544	1,034.91	81.1809
1,071.53	82.0731	1,071.53	79.5366	1,071.53	82.6092	1,071.53	80.3438	1,071.53	75.6432	1,071.53	80.9316
1,109.62	82.2451	1,109.62	79.51	1,109.62	82.7733	1,109.62	79.9833	1,109.62	75.4152	1,109.62	80.8981
1,148.44	81.8572	1,148.44	78.6533	1,148.44	82.4142	1,148.44	79.3372	1,148.44	74.8763	1,148.44	80.4006
1,189.45	81.7994	1,189.45	78.3613	1,189.45	82.3482	1,189.45	79.2226	1,189.45	74.4486	1,189.45	80.2929
1,231.2	81.3257	1,231.2	78.9444	1,231.2	82.5825	1,231.2	79.0843	1,231.2	74.2911	1,231.2	80.3242
1,274.41	81.2534	1,274.41	80.3345	1,274.41	83.964	1,274.41	80.0719	1,274.41	75.5455	1,274.41	81.4042
1,319.82	81.934	1,319.82	80.3915	1,319.82	83.7622	1,319.82	80.2757	1,319.82	75.0459	1,319.82	81.4405
1,365.97	82.5039	1,365.97	80.0417	1,365.97	83.7291	1,365.97	80.1891	1,365.97	74.7211	1,365.97	81.4401
1,414.31	82.6579	1,414.31	78.6656	1,414.31	83.1964	1,414.31	79.1527	1,414.31	73.4719	1,414.31	80.7983
1,464.11	82.5807	1,464.11	76.637	1,464.11	82.5679	1,464.11	78.4884	1,464.11	73.394	1,464.11	80.1925
1,515.38	82.5345	1,515.38	74.944	1,515.38	82.006	1,515.38	77.9079	1,515.38	72.5333	1,515.38	79.6773
1,568.85	82.9333	1,568.85	72.859	1,568.85	81.1654	1,568.85	76.6908	1,568.85	71.0632	1,568.85	79.0056
1,624.51	82.6784	1,624.51	72.4711	1,624.51	80.0092	1,624.51	75.503	1,624.51	69.1977	1,624.51	78.13
1,681.64	82.1954	1,681.64	74.5053	1,681.64	78.9079	1,681.64	74.4566	1,681.64	69.0502	1,681.64	77.4021
1,740.97	81.292	1,740.97	73.5263	1,740.97	78.6028	1,740.97	74.3541	1,740.97	67.9893	1,740.97	76.8895
1,802.49	80.2739	1,802.49	69.9525	1,802.49	79.5595	1,802.49	74.9993	1,802.49	68.6662	1,802.49	77.0558
1,866.21	79.5065	1,866.21	64.5788	1,866.21	79.9695	1,866.21	75.3327	1,866.21	68.893	1,866.21	77.1088
1,932.13	78.5195	1,932.13	64.1617	1,932.13	79.7798	1,932.13	75.2708	1,932.13	69.0729	1,932.13	76.8102
2,000.24	77.1362	2,000.24	67.3438	2,000.24	80.5313	2,000.24	75.8442	2,000.24	69.6166	2,000.24	77.2303
