"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
5,656.49	83.9945	5,656.49	83.3334	5,656.49	81.2724	5,656.49	77.4613	5,656.49	45.8514	5,656.49	42.0404	5,656.49	39.9794
5,856.45	84.2008	5,856.45	83.4755	5,856.45	81.1356	5,856.45	77.288	5,856.45	46.1668	5,856.45	42.3192	5,856.45	39.9794
6,062.99	85.4023	6,062.99	84.2285	6,062.99	81.5139	6,062.99	77.4868	6,062.99	46.7211	6,062.99	42.6939	6,062.99	39.9794
6,276.86	86.0315	6,276.86	84.7229	6,276.86	81.9254	6,276.86	77.7886	6,276.86	46.9136	6,276.86	42.7769	6,276.86	39.9794
6,498.05	86.1795	6,498.05	85.0633	6,498.05	82.0544	6,498.05	77.851	6,498.05	47.1917	6,498.05	42.9883	6,498.05	39.9794
6,727.29	87.022	6,727.29	85.7022	6,727.29	82.4374	6,727.29	78.0662	6,727.29	47.6154	6,727.29	43.2441	6,727.29	39.9794
6,964.6	86.7767	6,964.6	85.6976	6,964.6	82.3672	6,964.6	77.9756	6,964.6	47.7014	6,964.6	43.3098	6,964.6	39.9794
7,209.96	86.8199	7,209.96	85.6236	7,209.96	82.2143	7,209.96	77.7352	7,209.96	47.8677	7,209.96	43.3886	7,209.96	39.9794
7,464.11	86.0328	7,464.11	84.9057	7,464.11	81.6313	7,464.11	77.2652	7,464.11	47.62	7,464.11	43.2538	7,464.11	39.9794
7,727.78	84.9489	7,727.78	83.8996	7,727.78	80.7309	7,727.78	76.492	7,727.78	47.387	7,727.78	43.1481	7,727.78	39.9794
8,000.24	84.6841	8,000.24	83.673	8,000.24	80.3194	8,000.24	76.0357	8,000.24	47.6166	8,000.24	43.333	8,000.24	39.9794
8,282.23	85.8917	8,282.23	84.7502	8,282.23	81.0054	8,282.23	76.4407	8,282.23	48.2889	8,282.23	43.7242	8,282.23	39.9794
8,574.46	87.127	8,574.46	85.8634	8,574.46	81.8701	8,574.46	76.9917	8,574.46	48.8512	8,574.46	43.9727	8,574.46	39.9794
