"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
3,363.28	83.8214	3,363.28	81.4849	3,363.28	84.1068	3,363.28	79.5173	3,363.28	72.4255	3,363.28	81.7551
3,481.93	83.8131	3,481.93	82.5629	3,481.93	84.2454	3,481.93	80.0779	3,481.93	72.749	3,481.93	82.0809
3,604.98	84.1119	3,604.98	83.1589	3,604.98	84.5156	3,604.98	80.8381	3,604.98	73.4473	3,604.98	82.5279
3,732.42	83.9588	3,732.42	82.9655	3,732.42	83.7862	3,732.42	80.9787	3,732.42	73.6806	3,732.42	82.2221
3,863.53	83.8646	3,863.53	82.9936	3,863.53	83.8176	3,863.53	81.1311	3,863.53	72.8067	3,863.53	82.254
3,999.76	83.4578	3,999.76	82.7106	3,999.76	83.7766	3,999.76	81.1806	3,999.76	72.8984	3,999.76	82.1506
4,141.11	83.7023	4,141.11	82.7025	4,141.11	83.7778	4,141.11	80.8733	4,141.11	71.5216	4,141.11	82.0812
4,286.87	83.4805	4,286.87	82.3601	4,286.87	84.2727	4,286.87	81.3639	4,286.87	73.1317	4,286.87	82.3709
4,438.48	83.5108	4,438.48	82.2493	4,438.48	84.385	4,438.48	81.6171	4,438.48	72.5548	4,438.48	82.481
4,594.48	83.6733	4,594.48	82.3344	4,594.48	84.3719	4,594.48	81.5372	4,594.48	73.8265	4,594.48	82.5015
4,757.08	83.6505	4,757.08	82.2506	4,757.08	84.3313	4,757.08	81.8652	4,757.08	73.1913	4,757.08	82.5673
4,924.8	84.0614	4,924.8	81.8781	4,924.8	84.4148	4,924.8	81.4764	4,924.8	73.1968	4,924.8	82.5048
5,098.39	83.6498	5,098.39	81.4557	5,098.39	84.3846	5,098.39	81.521	5,098.39	72.9084	5,098.39	82.3957
5,277.83	83.5673	5,277.83	80.7369	5,277.83	84.2009	5,277.83	80.9908	5,277.83	71.8385	5,277.83	82.0633
5,463.87	83.1742	5,463.87	80.6015	5,463.87	83.8198	5,463.87	80.3782	5,463.87	72.129	5,463.87	81.6418
5,656.49	83.0205	5,656.49	80.7589	5,656.49	83.2008	5,656.49	80.1165	5,656.49	70.843	5,656.49	81.2724
5,856.45	82.4995	5,856.45	81.2032	5,856.45	83.3886	5,856.45	79.4797	5,856.45	70.4599	5,856.45	81.1356
6,062.99	82.3083	6,062.99	81.6125	6,062.99	84.1513	6,062.99	79.4688	6,062.99	70.4821	6,062.99	81.5139
6,276.86	82.2248	6,276.86	81.4072	6,276.86	84.7489	6,276.86	80.0304	6,276.86	71.1085	6,276.86	81.9254
6,498.05	82.1472	6,498.05	81.0176	6,498.05	84.9862	6,498.05	80.2395	6,498.05	71.059	6,498.05	82.0544
6,727.29	82.4818	6,727.29	80.5793	6,727.29	85.6104	6,727.29	80.3547	6,727.29	72.2726	6,727.29	82.4374
6,964.6	82.6233	6,964.6	79.9942	6,964.6	85.5834	6,964.6	80.2367	6,964.6	72.0403	6,964.6	82.3672
7,209.96	82.6744	7,209.96	79.9447	7,209.96	85.4371	7,209.96	79.9767	7,209.96	70.6657	7,209.96	82.2143
7,464.11	82.7204	7,464.11	79.5332	7,464.11	84.6712	7,464.11	79.3906	7,464.11	70.4647	7,464.11	81.6313
7,727.78	82.6936	7,727.78	79.3497	7,727.78	83.5958	7,727.78	78.0016	7,727.78	69.5771	7,727.78	80.7309
8,000.24	82.583	8,000.24	79.2509	8,000.24	83.3073	8,000.24	76.8932	8,000.24	66.7055	8,000.24	80.3194
8,282.23	82.1754	8,282.23	78.9844	8,282.23	84.5036	8,282.23	77.4303	8,282.23	67.5024	8,282.23	81.0054
8,574.46	82.0484	8,574.46	78.2924	8,574.46	85.6925	8,574.46	78.4489	8,574.46	68.2669	8,574.46	81.8701
8,876.22	82.6091	8,876.22	77.5328	8,876.22	85.6283	8,876.22	78.1755	8,876.22	68.7623	8,876.22	81.8214
9,189.7	82.6928	9,189.7	76.3453	9,189.7	84.5517	9,189.7	77.1845	9,189.7	68.2866	9,189.7	80.9378
9,513.43	82.3759	9,513.43	76.1515	9,513.43	83.0727	9,513.43	75.595	9,513.43	67.7992	9,513.43	79.7297
9,848.88	82.0168	9,848.88	76.0382	9,848.88	82.7217	9,848.88	74.7125	9,848.88	65.3041	9,848.88	79.3019
10,196.8	81.4466	10,196.8	76.1808	10,196.8	83.2813	10,196.8	75.097	10,196.8	66.1889	10,196.8	79.5961
