"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
9,189.7	101.386	9,189.7	95.9902	9,189.7	105.627	9,189.7	98.2721	9,189.7	85.5745	9,189.7	101.616
9,513.43	101.042	9,513.43	96.311	9,513.43	104.687	9,513.43	96.7717	9,513.43	83.7671	9,513.43	100.696
9,848.88	100.58	9,848.88	96.6474	9,848.88	104.671	9,848.88	96.0549	9,848.88	81.7775	9,848.88	100.536
10,196.8	100.438	10,196.8	96.8766	10,196.8	105.605	10,196.8	96.3463	10,196.8	82.3598	10,196.8	101.24
10,556.4	100.81	10,556.4	96.3598	10,556.4	106.306	10,556.4	96.6296	10,556.4	82.2966	10,556.4	101.813
10,928.5	101.103	10,928.5	95.9138	10,928.5	106.543	10,928.5	96.1717	10,928.5	81.2541	10,928.5	101.957
11,313.7	101.356	11,313.7	96.0732	11,313.7	106.052	11,313.7	94.9197	11,313.7	78.8076	11,313.7	101.49
11,712.9	101.427	11,712.9	95.7237	11,712.9	104.915	11,712.9	92.6089	11,712.9	78.4165	11,712.9	100.45
12,126	101.33	12,126	96.1423	12,126	104.92	12,126	92.1501	12,126	79.4572	12,126	100.43
12,553.7	101.942	12,553.7	97.1038	12,553.7	105.536	12,553.7	93.1106	12,553.7	81.0647	12,553.7	101.082
12,996.1	102.564	12,996.1	97.4088	12,996.1	105.745	12,996.1	95.3885	12,996.1	84.468	12,996.1	101.519
13,454.6	102.878	13,454.6	98.3069	13,454.6	105.027	13,454.6	97.1934	13,454.6	84.6679	13,454.6	101.347
13,928.5	103.264	13,928.5	98.6453	13,928.5	103.689	13,928.5	97.5939	13,928.5	84.7081	13,928.5	100.73
14,419.9	103.591	14,419.9	98.89	14,419.9	102.745	14,419.9	97.5038	14,419.9	83.8073	14,419.9	100.33
14,928.2	103.542	14,928.2	98.9483	14,928.2	102.994	14,928.2	97.9834	14,928.2	83.6498	14,928.2	100.54
15,454.8	103.59	15,454.8	97.7577	15,454.8	103.191	15,454.8	97.7428	15,454.8	83.2742	15,454.8	100.512
15,999.8	103.295	15,999.8	96.4293	15,999.8	102.783	15,999.8	96.8239	15,999.8	83.4129	15,999.8	99.9816
16,564.5	103.004	16,564.5	94.688	16,564.5	102.158	16,564.5	95.6884	16,564.5	83.0709	16,564.5	99.3031
17,148.2	102.811	17,148.2	93.506	17,148.2	102.4	17,148.2	95.515	17,148.2	82.8824	17,148.2	99.3112
17,753.2	102.838	17,753.2	91.6503	17,753.2	102.916	17,753.2	95.969	17,753.2	82.8741	17,753.2	99.6372
18,379.4	102.906	18,379.4	91.3838	18,379.4	102.206	18,379.4	95.1105	18,379.4	82.3386	18,379.4	99.1131
19,027.6	101.969	19,027.6	91.183	19,027.6	101.257	19,027.6	93.6343	19,027.6	81.6659	19,027.6	98.1081
19,698.5	100.272	19,698.5	89.8361	19,698.5	101.368	19,698.5	93.1101	19,698.5	81.5041	19,698.5	97.6584
19,999.5	99.1604	19,999.5	88.7757	19,999.5	101.258	19,999.5	92.4566	19,999.5	81.2291	19,999.5	97.2652
